timeStamp,adherence
3/8/2021 4:48,-1
3/8/2021 4:52,-1
3/8/2021 4:58,-2
3/8/2021 4:58,-2
3/8/2021 4:58,-6
3/8/2021 4:58,-12
3/8/2021 5:17,-1
3/8/2021 5:21,-2
3/8/2021 5:28,-2
3/8/2021 5:33,-1
3/8/2021 5:36,-1
3/8/2021 5:42,-1
3/8/2021 5:42,-1
3/8/2021 5:42,-5
3/8/2021 5:42,-11
3/8/2021 6:00,0
3/8/2021 6:05,1
3/8/2021 6:14,-1
3/8/2021 6:14,0
3/8/2021 6:22,-1
3/8/2021 6:26,0
3/8/2021 6:33,0
3/8/2021 6:33,1
3/8/2021 6:33,-2
3/8/2021 6:33,-8
3/8/2021 6:33,-12
3/8/2021 6:33,-18
3/8/2021 7:00,1
3/8/2021 7:04,1
3/8/2021 7:13,0
3/8/2021 7:13,-3
3/8/2021 7:23,-2
3/8/2021 7:25,1
3/8/2021 7:33,0
3/8/2021 7:38,3
3/8/2021 7:38,0
3/8/2021 7:38,0
3/8/2021 7:38,0
3/8/2021 7:38,0
3/8/2021 8:00,0
3/8/2021 8:05,1
3/8/2021 8:13,0
3/8/2021 8:13,-1
3/8/2021 8:20,-2
3/8/2021 8:25,0
3/8/2021 8:33,1
3/8/2021 8:33,0
3/8/2021 8:41,17
3/8/2021 8:41,11
3/8/2021 8:41,7
3/8/2021 8:41,1
3/8/2021 8:41,0
3/8/2021 9:05,-2
3/8/2021 9:13,0
3/8/2021 9:13,-1
3/8/2021 9:22,-1
3/8/2021 9:22,-1
3/8/2021 9:31,-3
3/8/2021 9:31,-4
3/8/2021 9:42,6
3/8/2021 9:42,2
3/8/2021 9:42,-1
3/8/2021 9:56,-1
3/8/2021 10:04,-1
3/8/2021 10:04,0
3/8/2021 10:14,0
3/8/2021 10:14,0
3/8/2021 10:21,-2
3/8/2021 10:21,-2
3/8/2021 10:30,6
3/8/2021 10:30,1
3/8/2021 10:30,0
3/8/2021 10:45,0
3/8/2021 10:54,-1
3/8/2021 10:54,-1
3/8/2021 11:03,0
3/8/2021 11:09,1
3/8/2021 11:09,0
3/8/2021 11:18,11
3/8/2021 11:18,6
3/8/2021 11:18,2
3/8/2021 11:18,0
3/8/2021 11:36,-1
3/8/2021 11:36,-1
3/8/2021 11:44,-1
3/8/2021 11:52,1
3/8/2021 11:58,2
3/8/2021 11:58,1
3/8/2021 12:08,0
3/8/2021 12:08,7
3/8/2021 12:08,1
3/8/2021 12:08,0
3/8/2021 12:25,-1
3/8/2021 12:34,0
3/8/2021 12:38,1
3/8/2021 12:43,0
3/8/2021 12:49,1
3/8/2021 12:49,0
3/8/2021 12:57,11
3/8/2021 12:57,7
3/8/2021 12:57,1
3/8/2021 12:57,-2
3/8/2021 1:17,-1
3/8/2021 1:17,-1
3/8/2021 1:25,-2
3/8/2021 1:34,-1
3/8/2021 1:34,1
3/8/2021 1:41,-1
3/8/2021 1:49,11
3/8/2021 1:49,8
3/8/2021 1:49,2
3/8/2021 1:49,-1
3/8/2021 2:06,-1
3/8/2021 2:14,-1
3/8/2021 2:14,-2
3/8/2021 2:23,0
3/8/2021 2:27,3
3/8/2021 2:27,1
3/8/2021 2:37,12
3/8/2021 2:37,8
3/8/2021 2:37,2
3/8/2021 2:37,-1
3/8/2021 2:57,-2
3/8/2021 2:57,-3
3/8/2021 3:07,-4
3/8/2021 3:13,-4
3/8/2021 3:15,-2
3/8/2021 3:21,-3
3/8/2021 3:21,-3
3/8/2021 3:31,9
3/8/2021 3:31,3
3/8/2021 3:31,-1
3/8/2021 3:47,0
3/8/2021 3:47,0
3/8/2021 3:56,-1
3/8/2021 4:04,0
3/8/2021 4:08,0
3/8/2021 4:13,1
3/8/2021 4:13,-1
3/8/2021 4:24,0
3/8/2021 4:25,13
3/8/2021 4:25,9
3/8/2021 4:25,4
3/8/2021 4:25,2
3/8/2021 4:45,3
3/8/2021 4:45,1
3/8/2021 4:55,1
3/8/2021 5:01,1
3/8/2021 5:05,2
3/8/2021 5:11,2
3/8/2021 5:11,1
3/8/2021 5:20,19
3/8/2021 5:20,14
3/8/2021 5:20,10
3/8/2021 5:20,4
3/8/2021 5:44,2
3/8/2021 5:44,2
3/8/2021 5:53,4
3/8/2021 5:53,3
3/8/2021 6:00,4
3/8/2021 6:09,4
3/8/2021 6:09,5
3/8/2021 6:18,21
3/8/2021 6:18,19
3/8/2021 6:18,13
3/8/2021 6:18,8
3/8/2021 6:18,3
3/8/2021 6:44,1
3/8/2021 6:44,1
3/8/2021 6:53,0
3/8/2021 6:53,-1
3/8/2021 7:00,-2
3/8/2021 7:05,-2
3/8/2021 7:12,-3
3/8/2021 7:12,-4
3/8/2021 7:20,-3
3/8/2021 7:20,-1
