,route,stop_id,stop_lat,stop_lon
0,2,904308,33.773246,-84.365044
2,2,904323,33.764534000000005,-84.31272
4,2,904512,33.77344,-84.365329
6,2,907473,33.77191,-84.38717
19,4,901066,33.756634999999996,-84.353111
17,4,212804,33.702866,-84.352558
16,4,151144,33.686264,-84.35515600000001
15,4,151059,33.693562,-84.366118
13,4,140150,33.700711,-84.349699
12,4,140110,33.700333,-84.34945
11,4,127053,33.724377000000004,-84.349349
14,4,140178,33.703002000000005,-84.351936
10,4,127020,33.724538,-84.349522
29,5,905429,33.844667,-84.371829
27,5,903010,33.918943,-84.360434
30,5,905526,33.844398999999996,-84.37180699999999
31,5,905864,33.890163,-84.381524
25,5,903009,33.920969,-84.344734
32,5,905988,33.890188,-84.381275
23,5,902868,33.919113,-84.360336
21,5,902145,33.823071999999996,-84.36995
33,6,901155,33.757726,-84.353409
36,6,901492,33.790008,-84.32090600000001
35,6,901232,33.814938,-84.349673
40,6,902144,33.821191999999996,-84.36941
39,6,902058,33.80795,-84.33527
38,6,901953,33.790490999999996,-84.320993
37,6,901835,33.806924,-84.335624
42,6,904950,33.778791,-84.345625
34,6,901167,33.814745,-84.34970799999999
41,6,904399,33.778773,-84.345451
50,12,904800,33.78111,-84.386697
45,12,900080,33.841069,-84.42743
44,12,900079,33.87813,-84.46919
43,12,213236,33.844338,-84.425116
48,12,904669,33.781581,-84.410169
49,12,904731,33.781514,-84.410336
51,12,905521,33.841736,-84.42756899999999
46,12,901554,33.803863,-84.414102
47,12,901938,33.803003000000004,-84.414422
54,15,130090,33.711379,-84.27158100000001
55,15,130214,33.711477,-84.271635
56,15,153016,33.692115,-84.272075
58,15,211891,33.653653000000006,-84.236214
59,15,212192,33.658004999999996,-84.286124
60,15,904262,33.774663000000004,-84.297516
53,15,106118,33.739457,-84.2883
52,15,106094,33.738857,-84.28818100000001
57,15,153090,33.690540000000006,-84.272432
67,19,906198,33.858531,-84.311933
3,19,904323,33.764534000000005,-84.31272
66,19,905514,33.887675,-84.30503900000001
65,19,905213,33.857852,-84.311785
64,19,903581,33.802141999999996,-84.310897
63,19,901986,33.819864,-84.303888
62,19,901878,33.819726,-84.304071
61,19,904262,33.774663000000004,-84.297516
80,21,900686,33.772472,-84.252236
72,21,103098,33.746669,-84.368139
70,21,103095,33.746812,-84.36802
78,21,107294,33.755371000000004,-84.267212
77,21,106433,33.747111,-84.291634
76,21,106168,33.747039,-84.291395
75,21,105422,33.747429,-84.33193
74,21,105232,33.747524,-84.331581
68,21,102274,33.753809000000004,-84.39241899999999
79,21,107346,33.754236,-84.268627
88,26,211572,33.76661,-84.397685
90,26,213419,33.782203,-84.416724
89,26,213389,33.783371,-84.417833
93,26,902019,33.790317,-84.44062199999999
92,26,901930,33.800256,-84.46221800000001
87,26,210300,33.810578,-84.477506
96,26,904519,33.772059999999996,-84.42867700000001
95,26,902292,33.800094,-84.462294
94,26,902136,33.790341999999995,-84.44045899999999
91,26,901284,33.766279,-84.397413
85,26,102258,33.753505,-84.391973
105,39,906139,33.858235,-84.311823
104,39,906138,33.857589000000004,-84.312285
102,39,905540,33.884882,-84.28882
100,39,905508,33.902423999999996,-84.280467
99,39,902150,33.833846,-84.33988199999999
98,39,902149,33.833721000000004,-84.34014300000001
103,39,905631,33.885544,-84.288221
22,39,902145,33.823071999999996,-84.36995
106,40,114900,33.735898999999996,-84.413542
110,40,211645,33.75358,-84.39036800000001
111,40,901264,33.753362,-84.39113
112,40,901789,33.789283000000005,-84.387125
114,40,904673,33.771553999999995,-84.384888
115,40,905031,33.770967,-84.385088
130,42,213346,33.711552000000005,-84.39014399999999
116,42,102248,33.753183,-84.39135300000001
118,42,115022,33.736175,-84.393447
129,42,213345,33.711507,-84.390231
119,42,115038,33.73637,-84.397077
121,42,115202,33.735856,-84.394812
122,42,136901,33.700649,-84.429541
125,42,137014,33.705236,-84.398896
126,42,137026,33.707446000000004,-84.39911500000001
127,42,210648,33.707553999999995,-84.399322
128,42,210653,33.70691,-84.397626
120,42,115144,33.73656,-84.39695
117,49,102248,33.753183,-84.39135300000001
132,49,115138,33.740486,-84.398117
131,49,115034,33.740773,-84.398288
133,49,115216,33.731809000000005,-84.389379
135,49,126038,33.714271999999994,-84.374033
134,49,126018,33.714039,-84.373804
138,49,140156,33.702624,-84.352188
136,49,126122,33.720791,-84.368397
18,49,212804,33.702866,-84.352558
137,49,126130,33.721507,-84.368571
139,49,151060,33.688895,-84.33703100000001
140,49,211584,33.731746,-84.389476
141,50,211505,33.770140000000005,-84.41350600000001
7,50,907473,33.77191,-84.38717
144,50,903950,33.776477,-84.474051
145,50,905740,33.776408,-84.474529
143,50,901095,33.769979,-84.41340799999999
142,50,213523,33.788346999999995,-84.504233
97,50,904519,33.772059999999996,-84.42867700000001
147,51,211573,33.768881,-84.39603100000001
149,51,900930,33.765428,-84.391961
150,51,901115,33.765309,-84.391818
151,51,903320,33.754259000000005,-84.46905799999999
155,51,904547,33.763608000000005,-84.440474
156,51,904778,33.763527,-84.4179
157,51,905158,33.763426,-84.41766899999999
148,51,211576,33.768952,-84.396129
146,51,211374,33.763536,-84.44109300000001
8,51,907473,33.77191,-84.38717
162,55,167016,33.648628,-84.364136
160,55,150069,33.680394,-84.367349
159,55,115166,33.731518,-84.38777900000001
158,55,115164,33.731434,-84.387987
163,55,212194,33.64825,-84.365377
164,55,212353,33.61608,-84.352745
69,55,102274,33.753809000000004,-84.39241899999999
161,55,150154,33.680709,-84.366896
165,60,900349,33.819344,-84.451044
166,60,901800,33.798947999999996,-84.46996
152,60,903320,33.754259000000005,-84.46905799999999
167,60,902084,33.799405,-84.470146
168,60,903643,33.777265,-84.474085
169,60,903868,33.777623,-84.47414
153,66,903320,33.754259000000005,-84.46905799999999
170,66,121120,33.706379,-84.487998
172,66,144130,33.674452,-84.509598
173,66,145026,33.688256,-84.48970200000001
175,66,145114,33.688008,-84.489785
177,66,165128,33.657621,-84.504173
178,66,213013,33.706461,-84.487651
179,66,900777,33.732594,-84.488861
180,66,903319,33.733107000000004,-84.488978
171,66,144118,33.674649,-84.51000400000001
185,71,900861,33.734256,-84.532266
184,71,900247,33.733199,-84.43750899999999
107,71,114900,33.735898999999996,-84.413542
182,71,120084,33.723532,-84.509208
181,71,120035,33.724022999999995,-84.510994
183,71,900177,33.733473,-84.437538
188,73,212876,33.735991,-84.565001
154,73,903320,33.754259000000005,-84.46905799999999
186,73,119002,33.723828000000005,-84.572418
189,73,901290,33.72619,-84.590308
187,73,210815,33.769666,-84.53194
190,73,901325,33.732421,-84.568413
193,73,905269,33.769192,-84.521511
192,73,903743,33.769732,-84.519072
191,73,901381,33.732689,-84.568534
20,74,901066,33.756634999999996,-84.353111
202,74,212224,33.70281,-84.285158
201,74,212219,33.711539,-84.271114
200,74,171002,33.702856,-84.284867
199,74,129958,33.720239,-84.311453
198,74,129956,33.720314,-84.31204699999999
196,74,117042,33.740208,-84.348364
194,74,117002,33.740123,-84.348179
203,78,146900,33.67657,-84.44046
212,78,159282,33.680994,-84.38448199999999
214,78,159296,33.680822,-84.368114
211,78,159128,33.681074,-84.384732
209,78,158178,33.681269,-84.415534
210,78,158309,33.681367,-84.416012
215,81,122362,33.697924,-84.457389
216,81,123140,33.722398,-84.430763
217,81,123144,33.722326,-84.430882
218,81,146266,33.690502,-84.46520799999999
108,81,114900,33.735898999999996,-84.413542
204,81,146900,33.67657,-84.44046
219,81,146342,33.698440000000005,-84.45718000000001
223,82,165056,33.650967,-84.489267
220,82,165038,33.651052,-84.489408
226,82,166901,33.651937,-84.448465
229,82,211241,33.656289,-84.503225
230,82,213381,33.626026,-84.57858399999999
231,83,122005,33.706608,-84.457223
174,83,145026,33.688256,-84.48970200000001
233,83,123900,33.717407,-84.426301
176,83,145114,33.688008,-84.489785
232,83,122380,33.706301,-84.457545
235,83,144950,33.688804,-84.507221
236,84,164002,33.651716,-84.513334
224,84,165056,33.650967,-84.489267
237,84,212021,33.658464,-84.503924
221,84,165038,33.651052,-84.489408
205,84,146900,33.67657,-84.44046
249,86,210346,33.702106,-84.172974
238,86,107262,33.733182,-84.251112
239,86,107284,33.733126,-84.251512
240,86,131056,33.715095,-84.216877
241,86,131144,33.714890999999994,-84.216887
81,86,900686,33.772472,-84.252236
242,86,134004,33.706882,-84.13059799999999
243,86,134052,33.705515000000005,-84.135234
245,86,134088,33.698937,-84.099228
24,87,902868,33.919113,-84.360336
26,87,903009,33.920969,-84.344734
28,87,903010,33.918943,-84.360434
251,87,902651,33.995672,-84.349422
253,87,902695,33.995815,-84.34964000000001
254,87,902725,33.945415999999994,-84.357235
256,87,906353,33.959077,-84.365335
252,87,902656,33.960848999999996,-84.36550600000001
257,89,166900,33.651267,-84.448559
259,89,212139,33.56835,-84.403322
260,89,900069,33.570023,-84.538593
265,95,158184,33.681481,-84.407747
109,95,114900,33.735898999999996,-84.413542
261,95,124050,33.71201,-84.408019
262,95,137038,33.681059000000005,-84.40758000000001
263,95,137056,33.712053000000004,-84.407715
264,95,148092,33.655462,-84.399526
5,102,904512,33.77344,-84.365329
1,102,904308,33.773246,-84.365044
266,102,904464,33.762484,-84.339945
9,102,907473,33.77191,-84.38717
71,107,103095,33.746812,-84.36802
73,107,103098,33.746669,-84.368139
274,107,210431,33.749764,-84.385434
275,107,211300,33.769268,-84.229764
197,107,117042,33.740208,-84.348364
195,107,117002,33.740123,-84.348179
267,107,106216,33.738729,-84.288792
268,107,106238,33.738859000000005,-84.287846
272,107,108094,33.736843,-84.216849
271,107,108032,33.736779999999996,-84.21850400000001
270,107,107156,33.737961999999996,-84.25174799999999
269,107,107140,33.737860999999995,-84.25219200000001
113,110,901789,33.789283000000005,-84.387125
279,110,905889,33.847874,-84.367296
278,110,905697,33.86025,-84.339147
277,110,900644,33.818177,-84.38902
276,110,900456,33.817801,-84.388868
280,110,905890,33.847366,-84.367542
281,111,109036,33.731333,-84.19449
282,111,131005,33.715875,-84.215365
246,111,134088,33.698937,-84.099228
283,111,131096,33.714908,-84.214901
244,111,134052,33.705515000000005,-84.135234
284,111,133166,33.706932,-84.168761
285,111,211293,33.70554,-84.135607
286,111,213590,33.706407,-84.16811899999999
287,111,903391,33.769764,-84.229424
273,115,108094,33.736843,-84.216849
290,115,133052,33.722970000000004,-84.167731
292,115,134005,33.722821,-84.165247
293,115,211523,33.706478999999995,-84.113754
289,115,108096,33.736588,-84.216347
247,115,134088,33.698937,-84.099228
291,115,133148,33.70698,-84.115039
82,115,900686,33.772472,-84.252236
288,116,903391,33.769764,-84.229424
297,116,903453,33.75975,-84.178004
295,116,211527,33.726912,-84.111198
294,116,134106,33.726689,-84.110985
248,116,134088,33.698937,-84.099228
296,116,900940,33.759858,-84.178026
298,117,210022,33.722588,-84.166979
299,117,210023,33.723394,-84.167097
301,117,210025,33.756283,-84.16534899999999
302,117,210118,33.69601,-84.153247
303,117,903060,33.786811,-84.23217
304,117,903587,33.793611,-84.262917
305,117,903726,33.793518,-84.262736
306,117,903737,33.7873,-84.19536
307,117,904264,33.775634000000004,-84.28177
310,117,906089,33.787063,-84.19619200000001
300,117,210024,33.756153000000005,-84.165498
309,117,905794,33.786673,-84.231539
250,117,210346,33.702106,-84.172974
315,120,902444,33.818661,-84.231476
311,120,211482,33.811196,-84.182803
312,120,213051,33.792834,-84.264225
313,120,901895,33.818684000000005,-84.232504
314,120,902336,33.825835999999995,-84.19628
308,120,904264,33.775634000000004,-84.28177
317,120,904010,33.793671,-84.263922
318,120,904067,33.785269,-84.26939899999999
316,120,903827,33.785188,-84.26923599999999
83,121,900686,33.772472,-84.252236
321,121,213121,33.858431,-84.183796
319,121,121011,33.800453000000005,-84.196202
320,121,211710,33.802098,-84.194198
323,121,901618,33.826623,-84.195778
324,121,902109,33.825979,-84.195888
322,121,213255,33.849185999999996,-84.195175
326,124,211570,33.853114,-84.209825
328,124,905375,33.91108,-84.26247
329,124,906160,33.884026,-84.220566
101,124,905508,33.902423999999996,-84.280467
330,124,906212,33.904764,-84.246418
331,124,906274,33.904532,-84.24681
327,124,905371,33.884205,-84.220587
325,124,210565,33.911576000000004,-84.26426500000001
332,125,212919,33.838531,-84.238333
333,125,212922,33.838388,-84.238649
334,125,212941,33.826926,-84.25693199999999
335,125,900278,33.849732,-84.25865300000001
336,125,901643,33.826792,-84.256997
337,125,903995,33.806384,-84.241001
338,125,904088,33.806178,-84.24086
84,125,900686,33.772472,-84.252236
342,172,158248,33.680786,-84.418488
344,172,166166,33.659952000000004,-84.455414
343,172,166066,33.659853000000005,-84.45554399999999
341,172,158158,33.664115,-84.41819699999999
340,172,158116,33.664517,-84.418382
234,172,123900,33.717407,-84.426301
227,172,166901,33.651937,-84.448465
339,172,158102,33.681651,-84.41865200000001
123,178,136901,33.700649,-84.429541
213,178,159282,33.680994,-84.38448199999999
346,178,211328,33.680983000000005,-84.393609
345,178,159344,33.663052,-84.385826
352,180,212901,33.600318,-84.549276
